id,mated,receptivity,grub.towel,trial,treat,grub,water,male
680,1,1,L,1,WE,27,9,24
639,1,1,L,2,WE,24,9,27
604,1,1,L,1,WE,23,9,28
661,1,1,L,2,WE,18,17,25
620,1,1,L,1,WE,7,10,43
610,1,1,L,2,WE,25,10,25
643,1,1,L,1,WE,6,2,52
607,1,1,L,2,WE,11,18,31
608,1,1,L,1,WE,3,2,55
605,1,1,L,2,WE,3,14,43
680,1,1,R,2,PBS,34,7,19
639,1,1,R,1,PBS,22,3,35
604,1,1,R,2,PBS,28,17,15
661,1,1,R,1,PBS,21,14,25
620,1,1,R,2,PBS,32,9,19
610,1,1,R,1,PBS,13,6,41
643,1,1,R,2,PBS,6,3,51
607,1,1,R,1,PBS,40,3,17
608,1,1,R,2,PBS,25,20,15
605,1,1,R,1,PBS,27,10,23
686,0,0.5,L,1,WE,0,60,0
689,0,0.5,L,2,WE,26,22,12
681,0,0.5,L,1,WE,0,0,60
657,0,0.333333333,L,2,WE,10,9,41
696,0,0.5,L,1,WE,42,10,8
612,0,0.333333333,L,2,WE,0,3,57
614,0,0.25,L,1,WE,0,60,0
638,0,0.5,L,2,WE,37,15,8
603,0,0.25,L,1,WE,5,4,51
663,0,0.5,L,2,WE,13,10,37
686,0,0.5,R,2,PBS,0,60,0
689,0,0.5,R,1,PBS,13,26,21
681,0,0.5,R,2,PBS,10,5,45
657,0,0.333333333,R,1,PBS,60,0,0
696,0,0.5,R,2,PBS,10,35,15
612,0,0.333333333,R,1,PBS,0,60,0
614,0,0.25,R,2,PBS,0,60,0
638,0,0.5,R,1,PBS,23,31,6
603,0,0.25,R,2,PBS,23,36,1
663,0,0.5,R,1,PBS,28,13,19
